ID,iNSC_1,iNSC_2,iNSC_3,HNF_1,HNF_2,HNF_3,WT-NSC_1,WT-NSC_2,WT-NSC_3
AMER2,2.08678,1.76648,2.16418,1,1,1,53.4091,66.1856,27.0275
AMFR,896.272,749.87,1034.48,906.91,775.93,650.572,1586.11,1816.26,1510.54
AMIGO1,27.1281,37.9793,46.53,16.385,22.8215,9.9832,26.7045,49.2544,48.0489
AMIGO2,778.369,935.35,955.487,537.428,619.783,438.429,785.675,786.532,714.727
AMIGO3,77.2108,46.8116,98.4704,57.3475,4.80452,7.4874,46.3816,70.8033,65.0662
AMMECR1,108.513,116.588,87.6495,126.165,279.863,303.656,157.416,163.155,144.147
AMMECR1L,472.656,514.045,485.859,253.148,419.194,317.799,418.137,401.731,480.489
AMN1,70.9505,55.644,62.7613,23.7583,38.4362,58.2354,65.3558,66.1856,65.0662
AMOT,320.321,453.101,397.128,75.371,177.767,14.1429,429.381,517.172,449.457
AMOTL1,853.493,962.73,854.853,534.151,791.545,589.841,998.609,937.373,919.935
AMOTL2,271.281,352.412,366.829,806.142,826.377,1179.68,710.481,712.65,803.817
AMPD2,683.42,461.051,781.271,955.246,476.849,539.925,666.208,921.981,829.844
AMPD3,19.8244,26.4972,25.9702,130.261,136.929,76.5379,40.0568,46.176,43.0438
AMPH,75.1241,86.5574,82.239,45.878,84.0791,125.622,293.75,323.232,250.254
AMT,105.382,52.9943,84.4032,115.514,87.6825,19.1345,78.0053,87.7345,80.0814
AMY2B,68.8637,37.096,31.3807,26.216,44.4418,14.1429,77.3026,60.0288,70.0712
AMZ1,1,1,1,3.277,8.40791,21.6303,1,1,1.00102
AMZ2,468.482,570.572,410.113,792.215,556.123,758.723,375.269,263.203,340.346
AMZ2P1,71.9939,55.644,54.1046,95.0331,72.0678,60.7312,58.3283,49.2544,57.058
ANAPC1,547.78,740.154,490.188,294.93,389.166,856.06,620.529,569.504,566.576
ANAPC10,44.8658,56.5273,31.3807,40.9625,73.2689,125.622,43.5705,26.1664,34.0346
ANAPC11,103.296,41.5122,240.224,876.598,147.739,95.6724,95.5741,243.194,196.199
ANAPC13,319.277,400.107,320.299,661.135,509.279,1058.22,427.272,350.938,393.4
ANAPC15,179.463,155.45,177.463,974.089,532.101,151.412,122.981,107.744,98.0997
ANAPC16,556.127,638.582,476.121,811.058,1107.44,737.093,341.537,287.831,369.376
ANAPC2,213.895,82.1412,314.889,258.883,91.2859,96.5043,163.741,317.075,267.272
ANAPC4,186.767,231.409,159.068,241.679,353.132,272.042,316.941,261.664,238.242
ANAPC5,993.307,859.391,906.793,1429.59,903.25,1007.47,886.871,757.287,761.774
ANAPC7,466.395,544.958,486.941,449.768,267.852,589.841,569.228,532.564,465.473
ANG,3.13017,3.53295,6.49255,208.09,98.4926,17.4706,10.5413,7.69601,8.00814
ANGEL1,365.186,301.184,363.583,182.693,190.98,148.084,307.102,366.33,387.394
ANGEL2,342.232,402.757,309.478,158.115,302.685,283.689,282.506,261.664,306.311
ANGPT1,1733.07,2201.91,1760.56,31.9508,206.594,1744.56,50.5981,44.6368,50.0509
ANGPT2,14.6075,27.3804,27.0523,2.45775,7.20678,1.66387,19.677,13.8528,19.0193
ANGPTL1,77.2108,75.9585,83.3211,4.09625,20.4192,62.395,100.493,93.8913,90.0916
ANGPTL2,127.294,135.136,138.508,4169.17,2440.7,252.076,332.401,295.527,296.301
ANGPTL4,933.834,368.311,1210.86,4.09625,1.20113,310.311,765.998,1134.39,808.822
ANK1,445.527,380.676,462.053,66.3593,93.6881,54.0757,202.392,255.507,190.193
ANK2,1391.88,1626.04,1362.35,91.756,100.895,288.681,1988.78,2010.2,1747.78
ANK3,796.106,935.35,702.278,1,3.60339,1,331.698,346.32,331.337
ANKAR,17.7376,15.0151,21.6418,6.554,4.80452,28.2857,10.5413,10.7744,13.0132
ANKDD1A,26.0847,22.081,24.8881,58.1668,126.119,23.2941,62.5448,41.5584,44.0448
ANKDD1B,9.39051,5.29943,7.57465,1,1,4.15967,34.4348,38.48,20.0204
ANKEF1,35.4753,43.2787,27.0523,4.9155,1,24.1261,52.7063,32.3232,32.0326
ANKFY1,1124.77,1191.49,1247.65,481.719,757.913,594.833,1361.93,1563.83,1358.38
ANKH,265.021,211.977,227.239,304.761,387.965,195.504,345.753,347.859,321.327
ANKHD1,667.769,972.446,604.89,413.721,1245.57,492.505,525.658,523.328,644.655
ANKHD1-EIF4EBP3,712.635,718.956,605.972,231.848,1292.42,583.185,648.639,564.887,583.593
ANKIB1,922.357,1216.22,938.174,199.078,557.324,1345.24,997.906,921.981,1080.1
ANKLE1,8.34712,5.29943,5.41046,8.1925,1,4.15967,20.3798,6.1568,11.0112
ANKLE2,664.639,653.597,692.539,639.835,512.882,593.169,878.438,885.041,857.872
ANKMY1,33.3885,23.8474,34.6269,7.37325,14.4136,12.479,16.866,40.0192,25.0254
ANKMY2,244.153,298.535,208.844,162.212,192.181,407.647,199.581,158.538,206.21
ANKRA2,183.637,179.297,133.097,58.986,93.6881,257.067,63.2476,89.2737,97.0987
ANKRD1,9.39051,18.548,20.5598,1,10.8102,127.286,38.6513,27.7056,14.0142
ANKRD10,763.761,756.936,679.554,798.769,753.108,186.353,1125.81,878.884,953.97
ANKRD11,911.923,880.589,1142.69,448.13,890.037,426.782,888.277,1157.48,1312.33
ANKRD12,329.711,531.71,378.732,206.451,462.435,857.724,430.083,417.123,527.536
ANKRD13A,531.085,528.177,499.927,870.044,1120.65,1487.5,649.342,571.044,535.544
ANKRD13B,66.7769,50.3446,69.2539,72.9133,269.053,9.15127,137.036,166.234,135.137
ANKRD13C,341.188,429.254,340.859,161.392,318.299,445.916,399.162,341.703,410.417
ANKRD13D,109.556,42.3955,176.381,241.679,135.728,74.874,172.174,253.968,223.227
ANKRD16,47.9959,30.9134,35.709,84.3828,45.6429,18.3025,61.1393,64.6464,46.0468
ANKRD17,1579.69,2119.77,1685.9,343.266,1077.41,1267.87,1410.42,1496.1,1514.54
ANKRD19P,12.5207,9.71563,9.73883,127.803,314.696,14.1429,21.0825,10.7744,12.0122
ANKRD20A2,7.30373,1,1,1,1,1,21.0825,23.088,18.0183
ANKRD20A4,1,1,1,1,6.00565,1,26.7045,1,26.0265
ANKRD20A9P,15.6508,18.548,21.6418,1.6385,27.626,22.4622,16.866,26.1664,17.0173
ANKRD22,1,1,1,1,1.20113,34.9412,1,1,2.00204
ANKRD23,15.6508,12.3653,15.1493,11.4695,1.20113,1.66387,16.1633,18.4704,19.0193
ANKRD24,5.21695,1,3.24628,6.554,19.2181,3.32773,7.02751,18.4704,10.0102
ANKRD26,157.552,193.429,162.314,37.6855,121.314,261.227,149.686,89.2737,147.15
ANKRD27,207.635,191.663,170.971,153.2,283.467,355.236,203.798,113.901,181.184
ANKRD28,383.967,462.817,389.553,496.466,1184.31,1769.52,618.421,597.21,639.65
ANKRD29,1,1,1,65.54,73.2689,79.8656,1,1.5392,5.00509
ANKRD32,91.8183,104.222,89.8137,19.662,58.8554,133.109,106.818,60.0288,62.0631
ANKRD33B,19.8244,24.7307,14.0672,38.5048,132.124,50.748,14.055,12.3136,31.0315
ANKRD34A,13.5641,18.548,23.806,49.9743,44.4418,35.7731,24.5963,46.176,21.0214
ANKRD35,3.13017,1,3.24628,217.101,132.124,25.7899,1.4055,1,4.00407
ANKRD36,13.5641,22.9642,23.806,11.4695,108.102,28.2857,52.7063,46.176,63.0641
ANKRD36B,52.1695,68.8926,42.2016,76.1903,157.348,44.0925,103.304,81.5777,96.0977
ANKRD36BP1,78.2542,116.588,106.045,4.9155,80.4757,38.2689,34.4348,49.2544,49.0499
ANKRD37,1.04339,2.64972,1,14.7465,1,14.9748,4.2165,1.5392,1.00102
ANKRD39,27.1281,7.94915,42.2016,135.176,37.235,19.9664,21.7853,32.3232,28.0285
ANKRD40,674.03,851.442,762.875,412.902,484.055,614.799,548.848,483.309,531.54
ANKRD42,108.513,130.719,136.344,106.503,166.957,127.286,135.631,144.685,127.129
ANKRD44,79.2976,78.6082,33.5449,18.8428,54.0508,18.3025,139.847,136.989,123.125
ANKRD45,35.4753,24.7307,21.6418,1,1,9.15127,35.1375,30.784,46.0468
ANKRD46,54.2563,69.7759,45.4479,36.8663,45.6429,127.286,92.7631,95.4305,89.0906
ANKRD49,92.8617,86.5574,73.5823,81.1058,105.699,143.093,61.1393,64.6464,62.0631
ANKRD50,953.658,1092.57,913.286,161.392,630.593,569.875,647.233,611.063,636.647
ANKRD52,2046.09,1958.14,2160.94,743.879,696.655,809.471,2093.49,2387.3,2130.17
ANKRD53,2.08678,6.18267,8.65674,29.493,13.2124,3.32773,10.5413,18.4704,12.0122
ANKRD54,180.506,160.749,190.448,349.82,109.303,90.6808,168.66,149.303,159.162
ANKRD6,116.86,113.055,102.799,12.2888,19.2181,5.82354,267.045,221.645,248.252
ANKRD65,2.08678,1.76648,2.16418,45.0588,14.4136,2.4958,10.5413,3.0784,7.00712
ANKRD9,20.8678,27.3804,28.1344,13.108,24.0226,17.4706,20.3798,21.5488,16.0163
ANKS1A,204.504,220.81,245.635,120.43,102.096,81.5295,276.884,341.703,376.383
ANKS1B,75.1241,112.171,111.455,65.54,3.60339,1,404.082,346.32,292.297
ANKS3,55.2997,28.2636,50.8583,158.935,157.348,51.5799,65.3558,87.7345,85.0865
ANKS6,114.773,105.105,135.262,267.076,147.739,148.084,261.423,306.301,286.291
ANKZF1,308.843,224.343,208.844,439.937,237.824,192.177,222.772,261.664,254.259
ANLN,1350.15,1842.44,1430.53,300.665,1129.06,1806.96,826.435,580.279,625.636
ANO1,22.9546,30.9134,29.2165,1,1,1,2170.09,2370.37,2419.46
ANO10,317.19,362.128,359.255,818.431,524.894,811.967,385.81,360.173,365.371
ANO3,1,1,1,1,1,219.63,1,1,1
ANO4,29.2149,24.7307,19.4777,28.6738,61.2576,299.496,196.067,144.685,178.181
ANO5,89.7315,93.6233,106.045,1,1,1,72.3833,52.3328,65.0662
ANO6,1593.26,2059.71,1830.9,494.827,1314.04,1901.8,1112.45,997.402,994.011
ANO8,201.374,99.806,241.307,52.432,27.626,4.15967,236.124,366.33,307.312
ANP32A,1304.24,1273.63,1075.6,984.739,766.321,702.152,1222.79,929.677,981.998
ANP32AP1,95.9919,98.0395,83.3211,35.2278,51.6486,44.0925,56.9228,36.9408,60.0611
ANP32B,682.377,817.879,564.852,3590.77,2005.89,1015.79,525.658,375.565,467.475
ANP32C,91.8183,98.0395,70.336,72.094,61.2576,62.395,57.6256,52.3328,54.055
ANP32E,1276.07,1605.73,1268.21,499.743,589.755,769.539,841.895,689.562,697.709
ANPEP,1256.24,1032.51,1150.26,15401.1,5877.13,5209.57,290.939,304.762,214.218
ANTXR1,4759.94,5799.35,5401.8,3370.4,6577.39,2479.99,1681.68,1714.67,1624.65
ANTXR2,1083.04,1291.29,1088.58,684.893,1083.42,1004.14,583.986,458.682,438.446
ANXA1,2046.09,2706.24,2075.45,4098.71,5253.74,15738.5,3064.7,2379.6,2604.65
ANXA11,581.168,475.182,587.576,5594.66,1682.78,1426.77,539.713,535.642,539.549
ANXA2,4089.04,4838.38,3385.87,21549.6,9885.3,11420.8,4190.5,3266.18,2863.91
ANXA2P1,305.713,384.209,273.769,611.98,714.672,982.514,334.509,270.899,260.265
ANXA2P2,6246.77,7458.07,5144.27,10310.3,10443.8,16733.5,5963.54,5130.16,4664.74
ANXA2P3,184.68,225.226,170.971,631.642,413.189,553.236,187.634,158.538,123.125
ANXA2R,30.2583,37.096,35.709,22.939,7.20678,1.66387,10.5413,23.088,18.0183
ANXA3,35.4753,68.0094,35.709,16.385,33.6316,257.899,11.9468,4.6176,9.00916
